0	1.71
3600	1.66
7200	1.61
10800	1.28
14400	0.99
18000	0.81
21600	0.82
25200	1.06
28800	1.44
32400	1.84
36000	2.18
39600	2.37
43200	2.33
46800	2.09
50400	1.75
54000	1.43
57600	1.16
61200	0.98
64800	0.96
68400	1.15
72000	1.53
75600	1.96
79200	2.36
82800	2.61
86400	2.64
90000	2.4
93600	2
97200	1.58
100800	1.21
104400	0.89
108000	0.7
111600	0.75
115200	1.06
118800	1.52
122400	1.99
126000	2.37
129600	2.56
133200	2.46
136800	2.12
140400	1.7
144000	1.33
147600	1.03
151200	0.84
154800	0.84
158400	1.11
162000	1.58
165600	2.08
169200	2.51
172800	2.76
176400	2.73
180000	2.4
183600	1.92
187200	1.46
190800	1.07
194400	0.76
198000	0.61
201600	0.76
205200	1.18
208800	1.72
212400	2.23
216000	2.6
219600	2.72
223200	2.5
226800	2.05
230400	1.56
234000	1.16
237600	0.86
241200	0.71
244800	0.8
248400	1.19
252000	1.73
255600	2.27
259200	2.7
262800	2.89
266400	2.74
270000	2.29
273600	1.75
277200	1.28
280800	0.91
284400	0.63
288000	0.59
291600	0.89
295200	1.43
298800	2.01
302400	2.5
306000	2.81
309600	2.79
313200	2.42
316800	1.87
320400	1.37
324000	0.98
327600	0.71
331200	0.63
334800	0.87
338400	1.37
342000	1.97
345600	2.5
349200	2.86
352800	2.92
356400	2.62
360000	2.08
363600	1.52
367200	1.08
370800	0.74
374400	0.56
378000	0.68
381600	1.14
385200	1.75
388800	2.32
392400	2.75
396000	2.92
399600	2.73
403200	2.23
406800	1.64
410400	1.16
414000	0.8
417600	0.6
421200	0.66
424800	1.04
428400	1.63
432000	2.22
435600	2.69
439200	2.94
442800	2.84
446400	2.4
450000	1.81
453600	1.29
457200	0.89
460800	0.62
464400	0.59
468000	0.9
471600	1.46
475200	2.08
478800	2.59
482400	2.91
486000	2.91
489600	2.56
493200	1.97
496800	1.41
500400	0.97
504000	0.67
507600	0.58
511200	0.8
514800	1.3
518400	1.9
522000	2.44
525600	2.8
529200	2.9
532800	2.64
536400	2.11
540000	1.53
543600	1.07
547200	0.73
550800	0.58
554400	0.74
558000	1.2
561600	1.81
565200	2.37
568800	2.77
572400	2.94
576000	2.77
579600	2.3
583200	1.71
586800	1.2
590400	0.82
594000	0.61
597600	0.67
601200	1.03
604800	1.58
608400	2.13
612000	2.57
615600	2.81
619200	2.74
622800	2.35
626400	1.8
630000	1.28
633600	0.89
637200	0.66
640800	0.66
644400	0.99
648000	1.53
651600	2.1
655200	2.57
658800	2.84
662400	2.85
666000	2.54
669600	2.01
673200	1.47
676800	1.03
680400	0.73
684000	0.64
687600	0.85
691200	1.29
694800	1.81
698400	2.28
702000	2.61
705600	2.7
709200	2.5
712800	2.04
716400	1.53
720000	1.1
723600	0.8
727200	0.69
730800	0.85
734400	1.28
738000	1.82
741600	2.31
745200	2.66
748800	2.8
752400	2.66
756000	2.27
759600	1.76
763200	1.29
766800	0.93
770400	0.73
774000	0.76
777600	1.07
781200	1.51
784800	1.96
788400	2.33
792000	2.54
795600	2.51
799200	2.21
802800	1.76
806400	1.33
810000	1
813600	0.8
817200	0.81
820800	1.09
824400	1.55
828000	2.02
831600	2.41
835200	2.64
838800	2.67
842400	2.43
846000	2.02
849600	1.57
853200	1.18
856800	0.9
