;x,z,nmann,xutm,yutm,AngMd,AngMi,Q
3650.000,-2.458,0.030,765267.523,4153997.118,2.307,-0.835,20.000
3700.000,-2.432,0.030,765230.464,4153963.552,2.312,-0.829,20.000
3750.000,-2.405,0.030,765193.595,4153929.785,2.357,-0.784,20.000
3800.000,-2.378,0.030,765158.285,4153894.407,2.401,-0.741,20.000
3850.000,-2.351,0.030,765124.532,4153857.519,2.401,-0.741,20.000
3900.000,-2.325,0.030,765090.778,4153820.631,2.423,-0.719,20.000
3950.000,-2.298,0.030,765057.872,4153783.000,2.533,-0.609,20.000
4000.000,-2.271,0.030,765029.331,4153742.082,2.582,-0.560,20.000
4050.000,-2.244,0.030,765002.770,4153699.720,2.582,-0.560,20.000
4100.000,-2.217,0.030,764976.209,4153657.358,2.650,-0.492,20.000
4150.000,-2.190,0.030,764952.618,4153613.298,2.766,-0.375,20.000
4200.000,-2.164,0.030,764934.287,4153566.780,2.766,-0.375,20.000
4250.000,-2.139,0.030,764915.955,4153520.261,2.768,-0.374,20.000
4300.000,-2.116,0.030,764897.701,4153473.713,2.812,-0.330,20.000
4350.000,-2.094,0.030,764881.514,4153426.461,2.864,-0.278,20.000
4400.000,-2.075,0.030,764867.794,4153378.381,2.944,-0.198,20.000
4450.000,-2.060,0.030,764857.998,4153329.445,3.005,-0.137,20.000
4500.000,-2.050,0.030,764851.176,4153279.914,3.073,-0.069,20.000
4550.000,-2.043,0.030,764847.751,4153230.052,-3.014,0.128,20.000
4600.000,-2.039,0.030,764854.125,4153180.519,-2.953,0.189,20.000
4650.000,-2.037,0.030,764863.478,4153131.578,-2.740,0.402,20.000
4700.000,-2.038,0.030,764883.031,4153085.560,-2.711,0.431,20.000
4750.000,-2.042,0.030,764903.902,4153040.172,-2.631,0.511,20.000
4800.000,-2.046,0.030,764928.348,4152996.571,-2.603,0.538,20.000
4850.000,-2.049,0.030,764953.978,4152953.640,-2.603,0.538,20.000
4900.000,-2.050,0.030,764979.609,4152910.709,-2.603,0.538,20.000
4950.000,-2.051,0.030,765005.240,4152867.778,-2.501,0.641,20.000
5000.000,-2.050,0.030,765035.098,4152827.744,-2.470,0.672,20.000
5050.000,-2.048,0.030,765066.229,4152788.617,-2.439,0.702,20.000
