;time, elevation
1134000.000, -0.020
1137600.000, 0.050
1141200.000, 0.110
1144800.000, 0.160
1148400.000, 0.160
1152000.000, 0.120
1155600.000, 0.050
1159200.000, -0.040
1162800.000, -0.090
1166400.000, -0.110
1170000.000, -0.100
1173600.000, -0.060
1177200.000, -0.020
1180800.000, 0.030
1184400.000, 0.080
1188000.000, 0.120
1191600.000, 0.130
1195200.000, 0.100
1198800.000, 0.030
1202400.000, -0.050
1206000.000, -0.120
1209600.000, -0.160
1213200.000, -0.150
1216800.000, -0.110
1220400.000, -0.060
1224000.000, -0.000
1227600.000, 0.060
1231200.000, 0.110
1234800.000, 0.150
1238400.000, 0.160
1242000.000, 0.120
1245600.000, 0.040
1249200.000, -0.040
1252800.000, -0.090
1256400.000, -0.110
1260000.000, -0.100
1263600.000, -0.070
1267200.000, -0.040
1270800.000, 0.010
1274400.000, 0.050
1278000.000, 0.090
1281600.000, 0.110
1285200.000, 0.090
1288800.000, 0.030
1292400.000, -0.040
1296000.000, -0.100
1299600.000, -0.130
1303200.000, -0.120
1306800.000, -0.090
1310400.000, -0.050
1314000.000, 0.000
1317600.000, 0.060
1321200.000, 0.110
1324800.000, 0.150
1328400.000, 0.160
1332000.000, 0.120
1335600.000, 0.040
1339200.000, -0.030
1342800.000, -0.090
1346400.000, -0.110
1350000.000, -0.110
1353600.000, -0.090
1357200.000, -0.060
1360800.000, -0.020
1364400.000, 0.030
1368000.000, 0.070
1371600.000, 0.100
1375200.000, 0.090
1378800.000, 0.040
1382400.000, -0.020
1386000.000, -0.080
1389600.000, -0.100
1393200.000, -0.100
1396800.000, -0.070
1400400.000, -0.040
1404000.000, 0.000
1407600.000, 0.060
1411200.000, 0.110
1414800.000, 0.160
1418400.000, 0.160
1422000.000, 0.120
1425600.000, 0.050
1429200.000, -0.030
1432800.000, -0.090
1436400.000, -0.120
1440000.000, -0.130
1443600.000, -0.120
1447200.000, -0.090
1450800.000, -0.050
1454400.000, 0.010
1458000.000, 0.070
1461600.000, 0.100
